bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
11801,The Stone Diaries,3.88,3.87,143036394,9780143036395,3.92,384,397,40,1125331200,3.9
38670,Pedro Páramo,4.13,4.05,351801434X,9783518014349,3.94,132,450,32,922896000,3.86
40361,Martian Time-Slip,3.98,3.77,185798837X,9781857988376,3.94,226,353,33,931363200,3.93
26931,Cloudsplitter,3.88,3.91,60930861,9780060930868,3.94,758,3618,425,917366400,3.94
29083,Snow,4.06,4.15,394800273,9780394800271,3.94,72,4383,88,-227952000,3.92
24304,Poppy's Return,3.94,3.99,60000147,9780060000141,3.94,256,1110,71,1156176000,4.0
13730,Bleach  Volume 18,4.26,4.34,1421510421,9781421510422,3.94,208,7781,70,1175529600,4.24
15148,Ralph Ellison: A Biography,4.0,4.15,375408274,9780375408274,3.94,657,182,24,1177344000,3.93
31076,The New Knighthood: A History of the Order of the Temple,3.89,3.84,521558727,9780521558723,3.94,441,126,7,812304000,3.93
29085,Sam And The Firefly (Beginner Books),4.09,4.17,1713191,9780001713192,3.94,64,5,0,487785600,3.95
39571,programming.java: An Introduction to Programming Using Java: An Introduction to Programming Using Java,3.95,4.0,534371094,9780534371098,3.94,640,1,0,945964800,3.89
13121,Enchantment: The Life of Audrey Hepburn,3.92,3.87,307237583,9780739474792,3.94,352,2703,267,1175443200,4.06
27528,Nicolae (Left Behind  #3),4.03,3.96,078622469X,9780786224692,3.94,530,30129,566,1133539200,3.97
31299,Hickory Dickory Dock (Hercule Poirot  #32),3.91,3.75,1572705647,9781572705647,3.94,196,13515,368,1165420800,3.95
38503,Tales of Ordinary Madness,3.97,3.92,872861554,9780872861558,3.94,238,16544,431,978278400,4.0
14684,The Charterhouse of Parma,3.9,3.82,192839578,9780192839572,3.94,560,51,8,944668800,3.92
3585,Sherlock Holmes: A Baker Street Dozen,4.0,3.96,1598870297,9781598870299,3.94,6,18,4,1145462400,3.8
24885,Strange Attractors,3.75,3.72,140345825,9780140345827,3.94,176,230,7,670435200,4.02
43747,The Authority  Vol. 2: Under New Management,4.07,4.15,1563897563,9781563897566,3.94,200,4146,71,973008000,3.98
2378,El Coleccionista De Huesos (Lincoln Rhyme  #1),3.94,4.19,8466305130,9788466305136,3.94,640,26,2,1054396800,3.89
15249,The Lord of the Rings: The Return of the King - Visual Companion,4.17,4.59,7116268,9780007116263,3.94,72,26,3,1068048000,4.0
35666,A Hard Day's Write: The Stories Behind Every Beatles Song,3.99,4.18,62736981,9780062736987,3.94,224,2072,100,941385600,4.01
5073,Gunnm Last Order  Tome 01,4.02,4.06,2723439801,9782723439800,3.98,200,48,2,1038326400,4.1
